card_one,card_two,card_three,score
2C,3C,4C,9
2C,3C,5C,10
2C,3C,6C,11
2C,3C,7C,12
2C,3C,8C,13
2C,3C,9C,14
2C,3C,TC,15
2C,3C,JC,15
2C,3C,QC,15
2C,3C,KC,15
2C,3C,AC,16
2C,3C,2D,5
2C,3C,3D,5
2C,3C,4D,5
2C,3C,5D,5
2C,3C,6D,6
2C,3C,7D,7
2C,3C,8D,8
2C,3C,9D,9
2C,3C,TD,10
2C,3C,JD,10
2C,3C,QD,10
2C,3C,KD,10
2C,3C,AD,11
2C,3C,2H,5
2C,3C,3H,5
2C,3C,4H,5
2C,3C,5H,5
2C,3C,6H,6
2C,3C,7H,7
2C,3C,8H,8
2C,3C,9H,9
2C,3C,TH,10
2C,3C,JH,10
2C,3C,QH,10
2C,3C,KH,10
2C,3C,AH,11
2C,3C,2S,5
2C,3C,3S,5
2C,3C,4S,5
2C,3C,5S,5
2C,3C,6S,6
2C,3C,7S,7
2C,3C,8S,8
2C,3C,9S,9
2C,3C,TS,10
2C,3C,JS,10
2C,3C,QS,10
2C,3C,KS,10
2C,3C,AS,11
2C,4C,3C,9
2C,4C,5C,11
2C,4C,6C,12
2C,4C,7C,13
2C,4C,8C,14
2C,4C,9C,15
2C,4C,TC,16
2C,4C,JC,16
2C,4C,QC,16
2C,4C,KC,16
2C,4C,AC,17
2C,4C,2D,6
2C,4C,3D,6
2C,4C,4D,6
2C,4C,5D,6
2C,4C,6D,6
2C,4C,7D,7
2C,4C,8D,8
2C,4C,9D,9
2C,4C,TD,10
2C,4C,JD,10
2C,4C,QD,10
2C,4C,KD,10
2C,4C,AD,11
2C,4C,2H,6
2C,4C,3H,6
2C,4C,4H,6
2C,4C,5H,6
2C,4C,6H,6
2C,4C,7H,7
2C,4C,8H,8
2C,4C,9H,9
2C,4C,TH,10
2C,4C,JH,10
2C,4C,QH,10
2C,4C,KH,10
2C,4C,AH,11
2C,4C,2S,6
2C,4C,3S,6
2C,4C,4S,6
2C,4C,5S,6
2C,4C,6S,6
2C,4C,7S,7
2C,4C,8S,8
2C,4C,9S,9
2C,4C,TS,10
2C,4C,JS,10
2C,4C,QS,10
2C,4C,KS,10
2C,4C,AS,11
2C,5C,3C,10
2C,5C,4C,11
2C,5C,6C,13
2C,5C,7C,14
2C,5C,8C,15
2C,5C,9C,16
2C,5C,TC,17
2C,5C,JC,17
2C,5C,QC,17
2C,5C,KC,17
2C,5C,AC,18
2C,5C,2D,7
2C,5C,3D,7
2C,5C,4D,7
2C,5C,5D,7
2C,5C,6D,7
2C,5C,7D,7
2C,5C,8D,8
2C,5C,9D,9
2C,5C,TD,10
2C,5C,JD,10
2C,5C,QD,10
2C,5C,KD,10
2C,5C,AD,11
2C,5C,2H,7
2C,5C,3H,7
2C,5C,4H,7
2C,5C,5H,7
2C,5C,6H,7
2C,5C,7H,7
2C,5C,8H,8
2C,5C,9H,9
2C,5C,TH,10
2C,5C,JH,10
2C,5C,QH,10
2C,5C,KH,10
2C,5C,AH,11
2C,5C,2S,7
2C,5C,3S,7
2C,5C,4S,7
2C,5C,5S,7
2C,5C,6S,7
2C,5C,7S,7
2C,5C,8S,8
2C,5C,9S,9
2C,5C,TS,10
2C,5C,JS,10
2C,5C,QS,10
2C,5C,KS,10
2C,5C,AS,11
2C,6C,3C,11
2C,6C,4C,12
2C,6C,5C,13
2C,6C,7C,15
2C,6C,8C,16
2C,6C,9C,17
2C,6C,TC,18
2C,6C,JC,18
2C,6C,QC,18
2C,6C,KC,18
2C,6C,AC,19
2C,6C,2D,8
2C,6C,3D,8
2C,6C,4D,8
2C,6C,5D,8
2C,6C,6D,8
2C,6C,7D,8
2C,6C,8D,8
2C,6C,9D,9
2C,6C,TD,10
2C,6C,JD,10
2C,6C,QD,10
2C,6C,KD,10
2C,6C,AD,11
2C,6C,2H,8
2C,6C,3H,8
2C,6C,4H,8
2C,6C,5H,8
2C,6C,6H,8
2C,6C,7H,8
2C,6C,8H,8
2C,6C,9H,9
2C,6C,TH,10
2C,6C,JH,10
2C,6C,QH,10
2C,6C,KH,10
2C,6C,AH,11
2C,6C,2S,8
2C,6C,3S,8
2C,6C,4S,8
2C,6C,5S,8
2C,6C,6S,8
2C,6C,7S,8
2C,6C,8S,8
2C,6C,9S,9
2C,6C,TS,10
2C,6C,JS,10
2C,6C,QS,10
2C,6C,KS,10
2C,6C,AS,11
2C,7C,3C,12
2C,7C,4C,13
2C,7C,5C,14
2C,7C,6C,15
2C,7C,8C,17
2C,7C,9C,18
2C,7C,TC,19
2C,7C,JC,19
2C,7C,QC,19
2C,7C,KC,19
2C,7C,AC,20
2C,7C,2D,9
2C,7C,3D,9
2C,7C,4D,9
2C,7C,5D,9
2C,7C,6D,9
2C,7C,7D,9
2C,7C,8D,9
2C,7C,9D,9
2C,7C,TD,10
2C,7C,JD,10
2C,7C,QD,10
2C,7C,KD,10
2C,7C,AD,11
2C,7C,2H,9
2C,7C,3H,9
2C,7C,4H,9
2C,7C,5H,9
2C,7C,6H,9
2C,7C,7H,9
2C,7C,8H,9
2C,7C,9H,9
2C,7C,TH,10
2C,7C,JH,10
2C,7C,QH,10
2C,7C,KH,10
2C,7C,AH,11
2C,7C,2S,9
2C,7C,3S,9
2C,7C,4S,9
2C,7C,5S,9
2C,7C,6S,9
2C,7C,7S,9
2C,7C,8S,9
2C,7C,9S,9
2C,7C,TS,10
2C,7C,JS,10
2C,7C,QS,10
2C,7C,KS,10
2C,7C,AS,11
2C,8C,3C,13
2C,8C,4C,14
2C,8C,5C,15
2C,8C,6C,16
2C,8C,7C,17
2C,8C,9C,19
2C,8C,TC,20
2C,8C,JC,20
2C,8C,QC,20
2C,8C,KC,20
2C,8C,AC,21
2C,8C,2D,10
2C,8C,3D,10
2C,8C,4D,10
2C,8C,5D,10
2C,8C,6D,10
2C,8C,7D,10
2C,8C,8D,10
2C,8C,9D,10
2C,8C,TD,10
2C,8C,JD,10
2C,8C,QD,10
2C,8C,KD,10
2C,8C,AD,11
2C,8C,2H,10
2C,8C,3H,10
2C,8C,4H,10
2C,8C,5H,10
2C,8C,6H,10
2C,8C,7H,10
2C,8C,8H,10
2C,8C,9H,10
2C,8C,TH,10
2C,8C,JH,10
2C,8C,QH,10
2C,8C,KH,10
2C,8C,AH,11
2C,8C,2S,10
2C,8C,3S,10
2C,8C,4S,10
2C,8C,5S,10
2C,8C,6S,10
2C,8C,7S,10
2C,8C,8S,10
2C,8C,9S,10
2C,8C,TS,10
2C,8C,JS,10
2C,8C,QS,10
2C,8C,KS,10
2C,8C,AS,11
2C,9C,3C,14
2C,9C,4C,15
2C,9C,5C,16
2C,9C,6C,17
2C,9C,7C,18
2C,9C,8C,19
2C,9C,TC,21
2C,9C,JC,21
2C,9C,QC,21
2C,9C,KC,21
2C,9C,AC,22
2C,9C,2D,11
2C,9C,3D,11
2C,9C,4D,11
2C,9C,5D,11
2C,9C,6D,11
2C,9C,7D,11
2C,9C,8D,11
